internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22680652,Indicator xanthonotus,ANIMALIA,CHORDATA,AVES,PICIFORMES,INDICATORIDAE,Indicator,xanthonotus,,,,,"Blyth, 1842",
22680723,Picumnus spilogaster,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,spilogaster,,,,,"Sundevall, 1866",
22680733,Picumnus steindachneri,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,steindachneri,,,,,"Taczanowski, 1882",
22680759,Picumnus fulvescens,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,fulvescens,,,,,"Stager, 1962",
22680765,Picumnus nebulosus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picumnus,nebulosus,,,,,"Sundevall, 1866",
22680978,Dendropicos stierlingi,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dendropicos,stierlingi,,,,,"Reichenow, 1901",
22681215,Veniliornis chocoensis,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Veniliornis,chocoensis,,,,,"Todd, 1919",
22681493,Chloropicoides rafflesii,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Chloropicoides,rafflesii,,,,,"(Vigors, 1830)","A recent comprehensive molecular phylogeny of the Picidae recovered the genus <em>Dinopium</em> as paraphyletic, with Olive-backed Woodpecker <em>D. rafflesii</em> (del Hoyo &amp; Collar 2014) sister to Pale-headed Woodpecker <em>Gecinulus grantia</em>. Kirwan &amp; Collar (2020), having presented evidence that <em>rafflesii </em>is a distinctive woodpecker divergent from both <em>Dinopium</em> and <em>Gecinulus</em>, reviewed previous treatments and established, as firmly as the limited evidence allows, that the earliest generic name available for the species is <em>Chloropicoides </em>Malherbe, 1849. Original description previously attributed to Vigors and Horsfield, but Vigors alone was the author (Bruce 2003). Individual variation considerable, and subspecies poorly marked, differing only in size; described subspecies <em>peninsulare</em> (Malacca, in Peninsular Malaysia) considered synonymous with nominate. Two subspecies recognized."
22681585,Mulleripicus pulverulentus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Mulleripicus,pulverulentus,,,,,"(Temminck, 1826)",
22681832,Lybius chaplini,ANIMALIA,CHORDATA,AVES,PICIFORMES,LYBIIDAE,Lybius,chaplini,,,,,"Clarke, 1920",
22681837,Lybius rubrifacies,ANIMALIA,CHORDATA,AVES,PICIFORMES,LYBIIDAE,Lybius,rubrifacies,,,,,"(Reichenow, 1892)",
22681914,Capito hypoleucus,ANIMALIA,CHORDATA,AVES,PICIFORMES,CAPITONIDAE,Capito,hypoleucus,,,,,"Salvin, 1897",
22681917,Capito dayi,ANIMALIA,CHORDATA,AVES,PICIFORMES,CAPITONIDAE,Capito,dayi,,,,,"Cherrie, 1916",
22681956,Semnornis ramphastinus,ANIMALIA,CHORDATA,AVES,PICIFORMES,SEMNORNITHIDAE,Semnornis,ramphastinus,,,,,"(Jardine, 1855)",
22682044,Pteroglossus bailloni,ANIMALIA,CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Pteroglossus,bailloni,,,,,"(Vieillot, 1819)",
22682050,Andigena laminirostris,ANIMALIA,CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Andigena,laminirostris,,,,,"Gould, 1851",
22682055,Andigena hypoglauca,ANIMALIA,CHORDATA,AVES,PICIFORMES,RAMPHASTIDAE,Andigena,hypoglauca,,,,,"(Gould, 1833)",
22682433,Anthracoceros coronatus,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Anthracoceros,coronatus,,,,,"(Boddaert, 1783)",
22682627,Ceratogymna elata,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Ceratogymna,elata,,,,,"(Temminck, 1831)",
22682638,Bucorvus leadbeateri,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Bucorvus,leadbeateri,,,,,"(Vigors, 1825)",
22682727,Pharomachrus mocinno,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Pharomachrus,mocinno,,,,,"de la Llave, 1832",
22682833,Harpactes kasumba,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Harpactes,kasumba,,,,,"(Raffles, 1822)",
22682836,Harpactes diardii,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Harpactes,diardii,,,,,"(Temminck, 1832)",
22682842,Harpactes whiteheadi,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Harpactes,whiteheadi,,,,,"Sharpe, 1888",
22682845,Harpactes orrhophaeus,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Harpactes,orrhophaeus,,,,,"(Cabanis & Heine, 1863)",
22682848,Harpactes duvaucelii,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Harpactes,duvaucelii,,,,,"(Temminck, 1824)",
22682857,Harpactes wardi,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Harpactes,wardi,,,,,"(Kinnear, 1927)",
22682931,Brachypteracias leptosomus,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,BRACHYPTERACIIDAE,Brachypteracias,leptosomus,,,,,"(Lesson, 1833)",
22682961,Atelornis crossleyi,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,BRACHYPTERACIIDAE,Atelornis,crossleyi,,,,,"Sharpe, 1875",
22683291,Todiramphus winchelli,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Todiramphus,winchelli,,,,,"(Sharpe, 1877)",
22683410,Todiramphus enigma,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Todiramphus,enigma,,,,,"(Hartert, 1904)",
22683542,Actenoides hombroni,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Actenoides,hombroni,,,,,"(Bonaparte, 1850)",
22684092,Phaenicophaeus diardi,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Phaenicophaeus,diardi,,,,,"(Lesson, 1830)",
22684095,Phaenicophaeus sumatranus,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Phaenicophaeus,sumatranus,,,,,"(Raffles, 1822)",
22684123,Phaenicophaeus pyrrhocephalus,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Phaenicophaeus,pyrrhocephalus,,,,,"(Pennant, 1769)",
22684219,Centropus chalybeus,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Centropus,chalybeus,,,,,"(Salvadori, 1875)",
22684222,Centropus rectunguis,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Centropus,rectunguis,,,,,"Strickland, 1847",
22684236,Centropus nigrorufus,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Centropus,nigrorufus,,,,,"(Cuvier, 1817)",
22684257,Centropus chlororhynchos,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Centropus,chlororhynchos,,,,,"Blyth, 1849",<em>Centropus chlororhynchos </em>(del Hoyo and Collar 2014) was previously listed as&#160;<em>C. chlororhynchus.</em>
22684473,Neomorphus radiolosus,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Neomorphus,radiolosus,,,,,"Sclater & Salvin, 1878",
22684502,Eos histrio,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Eos,histrio,,,,,"(Müller, 1776)",
22684559,Trichoglossus johnstoniae,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Trichoglossus,johnstoniae,,,,,"Hartert, 1903",
22684573,Trichoglossus iris,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Trichoglossus,iris,,,,,"(Temminck, 1835)","<p><span lang=""FR""><em>Trichoglossus iris </em>(Handbook of the Birds of the World and BirdLife International 2020) was previously listed as <em>Psitteteules iris </em>(del Hoyo <em>et al. </em>2014).<br/><br/>Schweizer <em>et al</em>. (2015) demonstrate that <em>iris</em> belongs in <em>Trichoglossus</em>, as Rosemary Low has always judged (‘Iris… is clearly a <em>Trichoglossus</em> in behaviour’: Low 2016: 99).<br/><br/>If there was a reason for grouping the three species together under the name <em>Psitteuteles</em>, it appears to be because they exclusively possess a bright red crown. No member of <em>Trichoglossus</em> does so, although Pohnpei Lorikeet <em>T. rubiginosus</em> has a dark red base colour that includes the crown. Apart from this, however, all three <em>Psitteuteles</em> are rather divergent from each other:</p><p><br/>·&#160;&#160;&#160;&#160;&#160;&#160; <em>P. versicolor</em> has an orange bill, broad white eye-ring and nares, yellow ear-coverts, green rest of body covered in bold yellow streaks and with a continuous pale dull blue around the throat, postocular area, necksides and hindcollar and a vague reddish wash to the upper breast and lower collar;</p><p><br/>·&#160;&#160;&#160;&#160;&#160;&#160; <em>P. goldiei</em> has a black bill, purplish-red ear-coverts, lower face and throat, blackish-blue postocular line forming a band across the nape, green-streaked pale yellowish-green underparts, necksides and broad hindcollar, and darkish-green rest of plumage;</p><p><br/>·&#160;&#160;&#160;&#160;&#160;&#160; <em>P. iris</em> has an orange bill, continuous purplish-blue postocular line and ear-coverts, greenish-yellow hindcollar bordered below by pale bright green lower hindcollar continuous with necksides, lower face and throat, yellowish-green underparts with vague dark narrow dark green bars across the breast, and green upperparts.</p><p><br/>Apart from the red crown and the green base plumage colour, the only character that <em>P. versicolor</em> has in common with <em>P. iris</em> is the orange bill, and the only character that <em>P. goldiei</em> has with <em>P. iris</em> is the postocular darkish blue (although this continues to different areas) and, perhaps, the reddish throat that is vaguely present in <em>P. r. rubropileum</em> and <em>P. i. wetterensis</em>.</p><p><br/>Notably, whereas <em>P. versicolor</em> and <em>P. goldiei</em> are both heavily streaked (albeit very different colours), <em>P. iris</em> has a muted pattern of transverse bars on the breast, and this character allies it with all species of <em>Trichoglossus</em>, even Olive-headed Lorikeet <em>T. euteles</em>, the underparts of which are plain yellowish-green but show (at least in some specimens) an extremely vague broad barring involving slightly more olive colour. Moreover, <em>P. iris</em> has the pale greenish-yellow hindcollar shown by most members of the Rainbow Lorikeet <em>T. haematodus</em> complex. The continuous purplish-blue postocular line and ear-coverts is shared with <em>T. ornatus</em> while, viewed ventrally, <em>P. iris</em> is most similar, among all species of <em>Psitteuteles</em> and <em>Trichoglossus</em>, to <em>P. euteles</em>, with which it co-occurs on Timor (elevationally separate). Schweizer <em>et al</em>. (2015) find a close link between <em>T. iris</em> and <em>T. ornatus</em>.</p>"
22684586,Lorius domicella,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Lorius,domicella,,,,,"(Linnaeus, 1758)",
22684603,Lorius albidinucha,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Lorius,albidinucha,,,,,"(Rothschild & Hartert, 1924)",
22684630,Vini kuhlii,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Vini,kuhlii,,,,,"(Vigors, 1824)",
22684661,Charmosyna palmarum,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Charmosyna,palmarum,,,,,"(Gmelin, 1788)",
22684668,Charmosyna meeki,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Charmosyna,meeki,,,,,"(Rothschild & Hartert, 1901)",
22684675,Charmosyna multistriata,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Charmosyna,multistriata,,,,,"(Rothschild, 1911)",
22684697,Charmosyna margarethae,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Charmosyna,margarethae,,,,,"Tristram, 1879",
22684784,Cacatua moluccensis,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,CACATUIDAE,Cacatua,moluccensis,,,,,"(Gmelin, 1788)",
22684960,Prioniturus waterstradti,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Prioniturus,waterstradti,,,,,"Rothschild, 1904",
22684964,Prioniturus platenae,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Prioniturus,platenae,,,,,"Blasius, 1888",
22684991,Prioniturus flavicans,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Prioniturus,flavicans,,,,,"Cassin, 1853",
22685029,Prosopeia splendens,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Prosopeia,splendens,,,,,"(Peale, 1848)",
22685035,Prosopeia personata,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Prosopeia,personata,,,,,"(Gray, 1848)",
22685063,Aprosmictus jonquillaceus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Aprosmictus,jonquillaceus,,,,,"(Vieillot, 1818)",
22685185,Eunymphicus cornutus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Eunymphicus,cornutus,,,,,"(Gmelin, 1788)",
22685360,Agapornis nigrigenis,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Agapornis,nigrigenis,,,,,"Sclater, 1906",
22685399,Loriculus catamene,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Loriculus,catamene,,,,,"Schlegel, 1873",
22685422,Loriculus pusillus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Loriculus,pusillus,,,,,"Gray, 1859",
22685500,Psittacula derbiana,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacula,derbiana,,,,,"(Fraser, 1852)",
22685516,Anodorhynchus hyacinthinus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Anodorhynchus,hyacinthinus,,,,,"(Latham, 1790)",
22685606,Primolius maracana,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Primolius,maracana,,,,,"(Vieillot, 1816)",
22685783,Pyrrhura cruentata,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,cruentata,,,,,"(Wied, 1820)",
22686054,Touit surdus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Touit,surdus,,,,,"(Kuhl, 1820)",
22686450,Cypseloides rothschildi,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Cypseloides,rothschildi,,,,,"Zimmer, 1945",
22686961,Phaethornis koepckeae,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Phaethornis,koepckeae,,,,,"Weske & Terborgh, 1977",
22687090,Campylopterus villaviscensio,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Campylopterus,villaviscensio,,,,,"(Bourcier, 1851)",
22687749,Hylonympha macrocerca,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Hylonympha,macrocerca,,,,,"Gould, 1873",
22687930,Eriocnemis cupreoventris,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eriocnemis,cupreoventris,,,,,"(Fraser, 1840)",
22687947,Eriocnemis derbyi,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eriocnemis,derbyi,,,,,"(DeLattre & Bourcier, 1846)",
22687957,Haplophaedia lugens,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Haplophaedia,lugens,,,,,"(Gould, 1851)",
22687987,Ramphomicron dorsale,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Ramphomicron,dorsale,,,,,"Salvin & Godman, 1880",
22687993,Metallura baroni,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Metallura,baroni,,,,,"Salvin, 1893",
22688018,Metallura iracunda,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Metallura,iracunda,,,,,"Wetmore, 1947",
22688130,Loddigesia mirabilis,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Loddigesia,mirabilis,,,,,"(Bourcier, 1847)",
22688340,Tauraco bannermani,ANIMALIA,CHORDATA,AVES,MUSOPHAGIFORMES,MUSOPHAGIDAE,Tauraco,bannermani,,,,,"(Bates, 1923)",
22688441,Tyto inexspectata,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,TYTONIDAE,Tyto,inexspectata,,,,,"(Schlegel, 1879)",
22688493,Tyto soumagnei,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,TYTONIDAE,Tyto,soumagnei,,,,,"(Grandidier, 1878)",
22688529,Phodilus prigoginei,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,TYTONIDAE,Phodilus,prigoginei,,,,,"Schouteden, 1952",
22688554,Otus rufescens,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,rufescens,,,,,"(Horsfield, 1821)",
22688565,Otus ireneae,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,ireneae,,,,,"Ripley, 1966",
22688586,Otus umbra,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,umbra,,,,,"(Richmond, 1903)",
22688591,Otus angelinae,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,angelinae,,,,,"(Finsch, 1912)",
22688602,Otus longicornis,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,longicornis,,,,,"(Ogilvie-Grant, 1894)",
22688608,Otus mindorensis,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,mindorensis,,,,,"(Whitehead, 1899)",
22688614,Otus mirus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,mirus,,,,,"Ripley & Rabor, 1968",
22688679,Otus pembaensis,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,pembaensis,,,,,"Pakenham, 1937",
22688713,Otus mentawi,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,mentawi,,,,,"Chasen & Kloss, 1926",
22688718,Otus fuliginosus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,fuliginosus,,,,,"(Sharpe, 1888)",
22688829,Megascops colombianus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Megascops,colombianus,,,,,"Traylor, 1952",
22688847,Megascops marshalli,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Megascops,marshalli,,,,,"Weske & Terborgh, 1981",
22689002,Bubo philippensis,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Bubo,philippensis,,,,,"(Kaup, 1851)",
22689007,Bubo blakistoni,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Bubo,blakistoni,,,,,"Seebohm, 1884",<em>Bubo blakistoni</em> (del Hoyo and Collar 2014) was previously placed in the genus <em>Ketupa</em>.
